GENESIS-Tabelle: 32214-0001
Trockenmasse des aus Abwasserbehandlungsanlagen direkt;;;;;;;;
entsorgten Klärschlamms: Bundesländer, Jahre,;;;;;;;;
Entsorgungsarten des Klärschlamms;;;;;;;;
Erhebung der öff. Abwasserentsorgung - Klärschlamm;;;;;;;;
Trockenmasse a.Abwasserbeh.anl. dir.ents.Klärschl. (t);;;;;;;;
;;Entsorgungsarten des Klärschlamms;Entsorgungsarten des Klärschlamms;Entsorgungsarten des Klärschlamms;Entsorgungsarten des Klärschlamms;Entsorgungsarten des Klärschlamms;Entsorgungsarten des Klärschlamms;Entsorgungsarten des Klärschlamms
;;Stoffliche Verwertung in der Landwirtschaft;Stoffl. Verwertung b.landschaftsbaulichen Maßnahm.;Sonstige stoffliche Verwertung;Thermische Entsorgung;Deponie;Sonstige direkte Entsorgung;Insgesamt
2013;Baden-Württemberg;2535;8878;3174;232010;-;-;246597
2013;Bayern;46893;56415;2371;158359;-;1028;265066
2013;Berlin;-;-;-;47107;-;-;47107
2013;Brandenburg;18093;13162;2292;50034;-;-;83581
2013;Bremen;7464;-;-;10007;-;-;17471
2013;Hamburg;-;-;-;47512;-;-;47512
2013;Hessen;48381;16375;2235;79613;-;-;146604
2013;Mecklenburg-Vorpommern;32977;1564;1677;1643;-;109;37970
2013;Niedersachsen;90397;13507;24165;27901;-;-;155970
2013;Nordrhein-Westfalen;77192;9952;12456;300644;-;-;400244
2013;Rheinland-Pfalz;57392;2968;3581;21090;-;301;85332
2013;Saarland;9121;3043;-;7507;-;-;19671
2013;Sachsen;12628;39038;3767;16679;-;-;72112
2013;Sachsen-Anhalt;20417;18400;3244;12477;-;2608;57146
2013;Schleswig-Holstein;51817;538;847;19652;-;186;73040
2013;Thüringen;16020;19872;883;2536;-;-;39311
2013;Insgesamt;491327;203712;60692;1034771;-;4232;1794734
_____
Trockenmasse des aus Abwasserbehandlungsanlagen direkt
entsorgten Klärschlamms:
Ohne Abgabe an andere Abwasserbehandlungsanlagen und
Zwischenlagerung.

Stoffliche Verwertung in der Landwirtschaft:
Nach Klärschlammverordnung (AbfKlärV).
2013: Im eigenen Bundesland und in anderen Bundesländern
verwerteter Klärschlamm nach Bericht für die EU-Kommission.

Stoffliche Verwertung bei landschaftsbaulichen Maßnahmen:
Die stoffliche Verwertung des Klärschlamms bei
landschaftsbaulichen Maßnahmen beinhaltet auch die
Klärschlammabgabe zur Rekultivierung und Kompostierung.

Deponie:
Die direkte Klärschlammentsorgung auf einer Deponie ist nach
der Abfallablagerungsverordnung (bis 2009) bzw. der
Verordnung zur Vereinfachung des Deponierechts (ab 2010)
bzw. der Deponieverordnung (ab 2011) nur noch in
Ausnahmefällen zulässig.

Sonstige direkte Entsorgung:
Hierzu zählt auch die Abgabe an Trocknungsanlagen,
wenn die weitere Entsorgung nicht bekannt ist.

Bayern:
Bis 2012 stoffliche Verwertung bei landschaftsbaulichen
Maßnahmen inklusive sonstige stoffliche Verwertung.
_____
(C)opyright Statistisches Bundesamt, Wiesbaden 2015
Stand: 30.11.2015 - 20:35:17
